Parameter,Age,Detail,Parameter_1,Parameter_2
Transmission_human,,Fixed,true,
Transmission_building,,Fixed,true,
Successful_contact_rate_human,0,Fixed,0.1700711,
Successful_contact_rate_building,,Fixed,0.1700711,
Reduction_asymptomatic,0,Fixed,0.45,
Proportion_asymptomatic,0,Fixed,0.3,
Basic_viral_release,0,Fixed,3,
Basic_viral_decrease,,Fixed,0.01375,
Probability_true_positive,0,Fixed,0.89,
Probability_true_negative,0,Fixed,0.92,
Proportion_wearing_mask,0,Fixed,0,
Reduction_wearing_mask,0,Fixed,0.5,
Incubation_period,0,Lognormal,1.57,0.65
Serial_interval,0,Normal,3.96,3.75
Proportion_hospitalization,0,Fixed,0.025,
Proportion_hospitalization,20,Fixed,0.208,
Proportion_hospitalization,45,Fixed,0.283,
Proportion_hospitalization,55,Fixed,0.301,
Proportion_hospitalization,65,Fixed,0.435,
Proportion_hospitalization,75,Fixed,0.587,
Proportion_hospitalization,85,Fixed,0.703,
Proportion_icu,0,Fixed,0,
Proportion_icu,20,Fixed,0.42,
Proportion_icu,45,Fixed,0.104,
Proportion_icu,55,Fixed,0.112,
Proportion_icu,65,Fixed,0.188,
Proportion_icu,75,Fixed,0.31,
Proportion_icu,85,Fixed,0.29,
Proportion_death_symptomatic,0,Fixed,0,
Proportion_death_symptomatic,20,Fixed,0.002,
Proportion_death_symptomatic,45,Fixed,0.008,
Proportion_death_symptomatic,55,Fixed,0.026,
Proportion_death_symptomatic,65,Fixed,0.049,
Proportion_death_symptomatic,75,Fixed,0.105,
Proportion_death_symptomatic,85,Fixed,0.273,
Onset_to_recovery,0,Lognormal,2.8622,0.0685
Onset_to_recovery,10,Lognormal,2.94968833505258,0.094
Onset_to_recovery,20,Lognormal,2.95491027903374,0.047
Onset_to_recovery,30,Lognormal,2.95491027903374,0.033
Onset_to_recovery,40,Lognormal,3.07269331469012,0.04
Onset_to_recovery,50,Lognormal,3.10906095886099,0.037
Onset_to_recovery,60,Lognormal,3.13113691056019,0.039
Onset_to_recovery,70,Lognormal,3.11351530921037,0.08
