An Giang,2151,0,0
Ba Ria - Vung Tau,1027,0,0
Bac Giang,1574,0,0
Bac Kan,299,0,0
Bac Lieu,873,0,0
Bac Ninh,1060,1,0
Ben Tre,1258,1,0
Binh Dinh,1497,0,0
Binh Duong,1691,0,0
Binh Phuoc,905,0,0
Binh Thuan,1180,9,0
Ca Mau,1215,0,0
Can Tho,1200,0,0
Cao Bang,515,0,0
Da Nang,952,5,0
Dak Lak,1772,0,0
Dak Nong,516,0,0
Dien Bien,512,0,0
Dong Nai,2665,0,0
Dong Thap,1673,4,0
Gia Lai,1322,0,0
Ha Giang,746,0,0
Ha Nam,787,0,0
Ha Noi,6700,39,0
Ha Tinh,1229,0,0
Hai Duong,1719,1,0
Hai Phong,1879,0,0
Hau Giang,769,0,0
Ho Chi Minh,7521,30,3
Hoa Binh,800,0,0
Hung Yen,1150,0,0
Khanh Hoa,1174,1,1
Kien Giang,1714,0,0
Kon Tum,453,0,0
Lai Chau,391,0,0
Lam Dong,1219,0,0
Lang Son,741,0,0
Lao Cai,638,2,0
Long An,1450,0,0
Nam Dinh,1834,0,0
Nghe An,2943,0,0
Ninh Binh,907,1,1
Ninh Thuan,569,2,0
Phu Tho,1326,0,0
Phu Yen,872,0,0
Quang Binh,853,0,0
Quang Nam,1435,3,0
Quang Ngai,1222,0,0
Quang Ninh,1164,6,0
Quang Tri,605,0,0
Soc Trang,1304,0,0
Son La,1119,0,0
Tay Ninh,1081,2,0
Thai Binh,1786,0,0
Thai Nguyen,1139,0,0
Thanh Hoa,3413,1,1
Thua Thien Hue,1103,2,0
Tien Giang,1683,0,0
Tra Vinh,1013,2,0
Tuyen Quang,731,0,0
Vinh Long,1029,0,0
Vinh Phuc,1015,11,11
Yen Bai,759,0,0
